ID,DSE01,DSE02,DSE03,DSE04,DSE05,DSE06,DSE07,DSE08,DSE09,DSE10,HAB01,HAB02,HAB03,HAB041,HAB042,HAB043,HAB044,HAB045,HAB046,ULV01,ULV02,ULV03,UVL04,ULV05,ULV06,ULV07,ULV08,ULV09,ACD1,ACD02,RAN01,RAN02,RAN03,JOG101,CAP101,JOG102,CAP102,JOG103,CAP103,JOG104,CAP104,JOG105,CAP105,JOG106,CAP106,JOG107,CAP107,JOG108,CAP108,JOG109,CAP109,JOG201,CAP201,JOG202,CAP202,JOG203,CAP203,JOG204,CAP204,JOG205,CAP205,JOG206,CAP206,JOG207,CAP207,JOG208,CAP208,JOG209,CAP209,JOG301,CAP301,JOG302,CAP302,JOG303,CAP303,JOG304,CAP304,JOG305,CAP305,JOG306,CAP306,JOG307,CAP307,JOG308,CAP308,JOG309,CAP309,DEB01,DEB02,DEB03,COM011,COM012,COM013,COM014,COM015,COM016,COM017,COM021,COM022,COM023,COM024,COM025,COM03,FNT01,interviewtime
4376,7,A2,5,6,1,2,7,4,3,1,3,3,A1,Y,,,,,,A1,7,9,1,2,A1,A1,A1,A1,NA,2,2,3,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,A3,9,A3,9,A2,9,A3,9,A2,9,A3,9,A2,9,A2,9,A3,9,1,1,2,,,Y,Y,Y,,,2,3,4,5,1,5,5,528.63
4377,26,A2,4,7,1,2,6,2,1,NA,1,1,A1,Y,Y,,,,,A1,26,26,4,5,A1,A1,A1,A1,NA,1,2,1,NA,A3,10,A3,8,A2,7,A3,6,A2,7,A3,7,A3,7,A3,9,A3,8,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,2,1,1,,,Y,Y,Y,,,5,4,1,2,3,4,6,679.67
4378,19,A2,6,6,2,2,7,3,3,2,1,1,A1,Y,,,,,,A1,19,11,2,4,A1,A1,A1,A3,2,NA,1,2,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,A3,10,A2,10,A3,10,A2,10,A3,10,A2,10,A3,10,A3,10,A2,10,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,1,2,1,,,Y,Y,Y,,,5,2,4,3,1,2,1,1136.18
4379,26,A2,6,4,1,2,9,4,4,1,2,3,A3,Y,Y,,,,,A1,26,19,4,10,A1,A2,A1,A2,2,NA,1,2,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,A3,7,A3,9,A2,10,A3,9,A2,10,A3,9,A2,9,A3,10,A3,9,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,2,1,1,,Y,Y,Y,,,,4,5,3,2,1,6,6,775.48
4381,26,A2,3,7,1,2,6,2,1,NA,4,1,A2,,,,,,Y,A3,26,26,1,1,A2,A2,A1,A1,2,NA,1,1,NA,A3,9,A3,5,A3,9,A2,7,A3,10,A3,10,A3,7,A3,10,A3,5,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,2,2,2,,Y,,Y,Y,,,5,4,2,3,1,4,5,1129.64
4387,26,A2,7,6,1,2,8,3,4,2,3,3,A1,,,,,,Y,A2,26,24,5,10,A1,A1,A1,A1,2,NA,1,2,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,A3,9,A2,9,A2,9,A2,9,A2,9,A2,9,A3,9,A3,9,A3,9,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,2,2,1,,Y,Y,,Y,,,4,5,1,3,2,3,5,775.35
4388,18,A2,3,7,1,2,6,3,2,2,4,1,A3,Y,,,,,,A3,18,18,2,3,A2,A1,A1,A4,2,NA,1,2,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,A2,5,A3,7,A2,8,A3,5,A2,7,A3,8,A2,8,A3,7,A3,9,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,2,2,1,,Y,Y,Y,Y,,,5,1,4,3,2,1,5,431.83
4391,26,A1,3,7,4,1,9,2,1,NA,1,1,A1,,Y,,,,,A1,26,26,2,2,A1,A1,A1,A1,NA,2,2,1,NA,A3,10,A3,8,A3,5,A2,8,A3,8,A2,9,A3,9,A3,9,A2,8,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,2,1,1,,Y,Y,,,,,5,4,3,2,1,4,6,729.94
4392,26,A2,3,4,1,1,7,4,1,NA,1,3,A1,,,,,,Y,A1,26,18,2,4,A1,A1,A2,A2,NA,2,2,2,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,A3,10,A2,10,A2,10,A2,10,A3,10,A2,10,A3,10,A3,10,A2,10,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,2,2,2,,Y,Y,,Y,,,4,5,1,2,3,5,5,1159.03
4393,18,A1,3,7,1,1,7,1,1,NA,5,1,A3,Y,Y,,,,,A3,18,26,3,5,A2,A1,A1,A3,NA,1,2,1,NA,A3,10,A3,10,A3,10,A2,10,A3,10,A3,10,A2,7,A2,10,A3,8,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,2,2,1,Y,Y,,,Y,,,5,2,1,4,3,4,5,466.57
